warning: `VIRTUAL_ENV=/usr` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
W0327 08:31:43.570000 11341 .venv/lib/python3.10/site-packages/torch/_inductor/utils.py:1613] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011421 | lrm: 0.00 | dt: 15733ms | tok/sec: 1,041 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011445 | lrm: 0.00 | dt: 42ms | tok/sec: 391,035 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011516 | lrm: 0.00 | dt: 42ms | tok/sec: 393,954 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011493 | lrm: 0.00 | dt: 42ms | tok/sec: 393,591 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011384 | lrm: 0.00 | dt: 42ms | tok/sec: 393,749 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011328 | lrm: 0.00 | dt: 42ms | tok/sec: 394,058 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011196 | lrm: 0.00 | dt: 42ms | tok/sec: 394,137 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011222 | lrm: 0.00 | dt: 42ms | tok/sec: 394,040 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011228 | lrm: 0.00 | dt: 42ms | tok/sec: 393,489 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011232 | lrm: 0.00 | dt: 42ms | tok/sec: 392,927 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 42ms | tok/sec: 392,133 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011230 | lrm: 0.00 | dt: 43ms | tok/sec: 380,075 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 9.011237 | lrm: 0.00 | dt: 44ms | tok/sec: 370,815 | mfu: 2.1% | epoch: 1 | remaining: 300s    
step 00013 (0.0%) | loss: 9.011218 | lrm: 0.01 | dt: 43ms | tok/sec: 381,953 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00014 (0.0%) | loss: 9.011039 | lrm: 0.01 | dt: 42ms | tok/sec: 391,345 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00015 (0.1%) | loss: 9.010747 | lrm: 0.01 | dt: 42ms | tok/sec: 392,961 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00016 (0.1%) | loss: 9.010236 | lrm: 0.01 | dt: 42ms | tok/sec: 391,595 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00017 (0.1%) | loss: 9.009506 | lrm: 0.02 | dt: 42ms | tok/sec: 391,606 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00018 (0.1%) | loss: 9.008516 | lrm: 0.02 | dt: 42ms | tok/sec: 391,729 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00019 (0.1%) | loss: 9.007503 | lrm: 0.02 | dt: 42ms | tok/sec: 391,193 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00020 (0.1%) | loss: 9.006038 | lrm: 0.03 | dt: 43ms | tok/sec: 380,926 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00021 (0.1%) | loss: 9.004193 | lrm: 0.03 | dt: 42ms | tok/sec: 387,130 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00022 (0.2%) | loss: 9.001810 | lrm: 0.03 | dt: 42ms | tok/sec: 390,726 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00023 (0.2%) | loss: 8.998761 | lrm: 0.03 | dt: 42ms | tok/sec: 391,760 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00024 (0.2%) | loss: 8.995617 | lrm: 0.04 | dt: 42ms | tok/sec: 392,026 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00025 (0.2%) | loss: 8.991814 | lrm: 0.04 | dt: 42ms | tok/sec: 390,693 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00026 (0.2%) | loss: 8.986753 | lrm: 0.04 | dt: 42ms | tok/sec: 388,737 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00027 (0.2%) | loss: 8.979725 | lrm: 0.05 | dt: 42ms | tok/sec: 392,884 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00028 (0.2%) | loss: 8.970970 | lrm: 0.05 | dt: 42ms | tok/sec: 392,144 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00029 (0.3%) | loss: 8.960866 | lrm: 0.05 | dt: 42ms | tok/sec: 392,909 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00030 (0.3%) | loss: 8.947653 | lrm: 0.05 | dt: 42ms | tok/sec: 391,932 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00031 (0.3%) | loss: 8.931104 | lrm: 0.06 | dt: 42ms | tok/sec: 391,860 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00032 (0.3%) | loss: 8.909481 | lrm: 0.06 | dt: 42ms | tok/sec: 392,501 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00033 (0.3%) | loss: 8.882669 | lrm: 0.06 | dt: 43ms | tok/sec: 382,261 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00034 (0.3%) | loss: 8.850900 | lrm: 0.06 | dt: 44ms | tok/sec: 375,266 | mfu: 2.1% | epoch: 1 | remaining: 299s    
step 00035 (0.3%) | loss: 8.813211 | lrm: 0.07 | dt: 43ms | tok/sec: 380,924 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00036 (0.4%) | loss: 8.766990 | lrm: 0.07 | dt: 44ms | tok/sec: 374,158 | mfu: 2.1% | epoch: 1 | remaining: 299s    
step 00037 (0.4%) | loss: 8.715429 | lrm: 0.07 | dt: 43ms | tok/sec: 383,250 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00038 (0.4%) | loss: 8.653230 | lrm: 0.08 | dt: 42ms | tok/sec: 392,015 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00039 (0.4%) | loss: 8.588225 | lrm: 0.08 | dt: 42ms | tok/sec: 393,507 | mfu: 2.3% | epoch: 1 | remaining: 299s    
step 00040 (0.4%) | loss: 8.525579 | lrm: 0.08 | dt: 42ms | tok/sec: 391,445 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00041 (0.4%) | loss: 8.453982 | lrm: 0.08 | dt: 42ms | tok/sec: 393,848 | mfu: 2.3% | epoch: 1 | remaining: 299s    
step 00042 (0.4%) | loss: 8.380010 | lrm: 0.09 | dt: 42ms | tok/sec: 393,713 | mfu: 2.3% | epoch: 1 | remaining: 299s    
step 00043 (0.5%) | loss: 8.307375 | lrm: 0.09 | dt: 42ms | tok/sec: 392,512 | mfu: 2.2% | epoch: 1 | remaining: 299s    
step 00044 (0.5%) | loss: 8.236655 | lrm: 0.09 | dt: 42ms | tok/sec: 393,780 | mfu: 2.3% | epoch: 1 | remaining: 299s    
step 00045 (0.5%) | loss: 8.168007 | lrm: 0.10 | dt: 42ms | tok/sec: 393,724 | mfu: 2.3% | epoch: 1 | remaining: 299s    
step 00046 (0.5%) | loss: 8.096059 | lrm: 0.10 | dt: 42ms | tok/sec: 392,062 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00047 (0.5%) | loss: 8.027210 | lrm: 0.10 | dt: 42ms | tok/sec: 391,537 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00048 (0.5%) | loss: 7.950276 | lrm: 0.10 | dt: 42ms | tok/sec: 393,228 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00049 (0.5%) | loss: 7.876871 | lrm: 0.11 | dt: 42ms | tok/sec: 393,370 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00050 (0.5%) | loss: 7.808134 | lrm: 0.11 | dt: 42ms | tok/sec: 393,977 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00051 (0.6%) | loss: 7.738749 | lrm: 0.11 | dt: 42ms | tok/sec: 393,866 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00052 (0.6%) | loss: 7.667339 | lrm: 0.12 | dt: 42ms | tok/sec: 393,979 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00053 (0.6%) | loss: 7.599610 | lrm: 0.12 | dt: 42ms | tok/sec: 393,798 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00054 (0.6%) | loss: 7.540924 | lrm: 0.12 | dt: 42ms | tok/sec: 393,170 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00055 (0.6%) | loss: 7.485894 | lrm: 0.12 | dt: 42ms | tok/sec: 393,670 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00056 (0.6%) | loss: 7.428871 | lrm: 0.13 | dt: 42ms | tok/sec: 394,160 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00057 (0.6%) | loss: 7.364914 | lrm: 0.13 | dt: 42ms | tok/sec: 393,471 | mfu: 2.3% | epoch: 1 | remaining: 298s    
